Label,IPLength,IPHeaderLength,IPFlags,TTL,Protocol,IPID,IPchecksum,SourcePort,DestPort,SequenceNumber,AckNumber,WindowSize,TCPHeaderLength,TCPflags,TCPLength,TCPChecksum,TCPStream,TCPUrgentPointer
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x5b61,0xa1cc,45990,443,727,726,406,32,0x0010,0,0x81ae,1,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xae93,0x4feb,36784,443,51,51,245,32,0x0010,0,0x6a70,8,0
filtered_pcap\TCP_Assistant,60,20,0x02,64,6,0x892e,0x3dde,43936,443,0,0,14600,40,0x0002,0,0x7aeb,71,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x892f,0x3de5,43936,443,1,1,229,32,0x0010,0,0xbae2,71,0
filtered_pcap\TCP_Assistant,235,20,0x02,64,6,0x8930,0x3d2d,43936,443,1,1,229,32,0x0018,183,0x61a7,71,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x8931,0x3de3,43936,443,184,1419,273,32,0x0010,0,0xb41d,71,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x8932,0x3de2,43936,443,184,2837,317,32,0x0010,0,0xae67,71,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x8933,0x3de1,43936,443,184,3359,362,32,0x0010,0,0xac30,71,0
filtered_pcap\TCP_Assistant,137,20,0x02,64,6,0x8934,0x3d8b,43936,443,184,3359,362,32,0x0018,85,0x3a48,71,0
filtered_pcap\TCP_Assistant,803,20,0x02,64,6,0x8935,0x3af0,43936,443,269,3402,362,32,0x0018,751,0xe3a4,71,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x8936,0x3dde,43936,443,1020,4189,450,32,0x0010,0,0xa517,71,0
filtered_pcap\TCP_Assistant,75,20,0x02,64,6,0x8937,0x3dc6,43936,443,1020,4189,450,32,0x0018,23,0x4c29,71,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x8938,0x3ddc,43936,443,1043,4190,450,32,0x0011,0,0xa4f3,71,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x50c9,0x6eb8,43687,443,9785,9693,406,32,0x0010,0,0x433c,28,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x792f,0xa1fe,55240,443,51,51,406,32,0x0010,0,0x0db1,10,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xd9ef,0xecde,36902,443,9427,9376,406,32,0x0010,0,0xfa1b,30,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0x0ad4,0x560b,58224,443,5810,6452,1597,20,0x0018,46,0x7135,62,0
filtered_pcap\TCP_Assistant,121,20,0x02,64,6,0x50ca,0x6e72,43687,443,9786,9693,406,32,0x0018,69,0xb9fe,28,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0x50cb,0x6e90,43687,443,9855,9693,406,32,0x0018,38,0x7c87,28,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x50cc,0x6eb5,43687,443,9893,9809,406,32,0x0010,0,0x5221,28,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0x50cd,0x6e92,43687,443,9893,9809,406,32,0x0018,34,0xaa1d,28,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0x50ce,0x6e8d,43687,443,9927,9809,406,32,0x0018,38,0xf4d4,28,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x6073,0xa5f4,56034,443,754,755,406,32,0x0010,0,0x1385,3,0
filtered_pcap\TCP_Assistant,121,20,0x02,64,6,0xd9f0,0xec98,36902,443,9428,9376,406,32,0x0018,69,0x3368,30,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0xd9f1,0xecb6,36902,443,9497,9376,406,32,0x0018,38,0x11bf,30,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xd9f2,0xecdb,36902,443,9535,9454,406,32,0x0010,0,0x0919,30,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0xd9f3,0xecb8,36902,443,9535,9454,406,32,0x0018,34,0x0b6f,30,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0xd9f4,0xecb3,36902,443,9569,9454,406,32,0x0018,38,0xb9cb,30,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xd9f5,0xecd8,36902,443,9607,9492,406,32,0x0010,0,0x08a7,30,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x5b62,0xa1cb,45990,443,726,726,406,32,0x0010,0,0x7013,1,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xae94,0x4fea,36784,443,51,51,245,32,0x0010,0,0xa88f,8,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0x0ad5,0x560a,58224,443,5856,6498,1597,20,0x0018,46,0x5d30,62,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x50cf,0x6eb2,43687,443,9964,9809,406,32,0x0010,0,0x4032,28,0
filtered_pcap\TCP_Assistant,85,20,0x02,64,6,0xdaac,0xd53b,55637,443,4409,3315,8202,32,0x0018,33,0xab05,5,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xdaad,0xd55b,55637,443,4442,3346,8202,32,0x0010,0,0xae58,5,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x6074,0xa5f3,56034,443,754,755,406,32,0x0010,0,0x51eb,3,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xd9f6,0xecd7,36902,443,9606,9492,406,32,0x0010,0,0xf715,30,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0x0ad6,0x5609,58224,443,5902,6544,1597,20,0x0018,46,0x8843,62,0
filtered_pcap\TCP_Assistant,64,20,0x02,64,6,0x0000,0xdeeb,64272,443,0,0,65535,44,0x00c2,0,0x42d4,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,1,1,2058,32,0x0010,0,0xb26a,72,0
filtered_pcap\TCP_Assistant,294,20,0x02,64,6,0x0000,0xde05,64272,443,1,1,2058,32,0x0018,242,0xd7c5,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,243,2897,2013,32,0x0010,0,0xa63c,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,243,4097,1994,32,0x0010,0,0xa19f,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,243,5545,2048,32,0x0010,0,0x9bc0,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,243,5667,2046,32,0x0010,0,0x9b32,72,0
filtered_pcap\TCP_Assistant,178,20,0x02,64,6,0x0000,0xde79,64272,443,243,5667,2048,32,0x0018,126,0xe36d,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,369,5718,2047,32,0x0010,0,0x9a26,72,0
filtered_pcap\TCP_Assistant,105,20,0x02,64,6,0x0000,0xdec2,64272,443,369,5718,2048,32,0x0018,53,0x5e91,72,0
filtered_pcap\TCP_Assistant,102,20,0x02,64,6,0x0000,0xdec5,64272,443,422,5718,2048,32,0x0018,50,0x0ab1,72,0
filtered_pcap\TCP_Assistant,94,20,0x02,64,6,0x0000,0xdecd,64272,443,472,5718,2048,32,0x0018,42,0x93d3,72,0
filtered_pcap\TCP_Assistant,831,20,0x02,64,6,0x0000,0xdbec,64272,443,514,5718,2048,32,0x0018,779,0x725c,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,1293,5795,2046,32,0x0010,0,0x9629,72,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0x0000,0xded1,64272,443,1293,5795,2048,32,0x0018,38,0xb646,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,1331,6848,2031,32,0x0010,0,0x91f2,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,1331,7901,2015,32,0x0010,0,0x8de5,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,1331,10007,1982,32,0x0010,0,0x85cc,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,1331,10007,2048,32,0x0010,0,0x858a,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,1331,12903,2002,32,0x0010,0,0x7a67,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,1331,15799,1957,32,0x0010,0,0x6f44,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,1331,18695,1912,32,0x0010,0,0x6421,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,1331,21591,1867,32,0x0010,0,0x58fe,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,1331,22881,1846,32,0x0010,0,0x5409,72,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x0000,0xdef7,64272,443,1331,22881,2048,32,0x0010,0,0x533f,72,0
filtered_pcap\TCP_Assistant,121,20,0x02,64,6,0x50d0,0x6e6c,43687,443,9965,9809,406,32,0x0018,69,0x157c,28,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0x50d1,0x6e8a,43687,443,10034,9809,406,32,0x0018,38,0xbede,28,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x50d2,0x6eaf,43687,443,10072,9925,406,32,0x0010,0,0x4f16,28,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0x50d3,0x6e8c,43687,443,10072,9925,406,32,0x0018,34,0x61d7,28,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0x50d4,0x6e87,43687,443,10106,9925,406,32,0x0018,38,0x82be,28,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x5b63,0xa1ca,45990,443,726,726,406,32,0x0010,0,0xae52,1,0
filtered_pcap\TCP_Assistant,121,20,0x02,64,6,0xd9f7,0xec91,36902,443,9607,9492,406,32,0x0018,69,0x060c,30,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0xd9f8,0xecaf,36902,443,9676,9492,406,32,0x0018,38,0xc713,30,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xd9f9,0xecd4,36902,443,9714,9570,406,32,0x0010,0,0x060d,30,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xd9fa,0xecd3,36902,443,9714,9608,406,32,0x0010,0,0x05e7,30,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0xd9fb,0xecb0,36902,443,9714,9608,406,32,0x0018,34,0x77a0,30,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0xd9fc,0xecab,36902,443,9748,9608,406,32,0x0018,38,0xbbc4,30,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xae95,0x4fe9,36784,443,51,51,245,32,0x0010,0,0xe6ad,8,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x50d5,0x6eac,43687,443,10144,9981,406,32,0x0011,0,0x22e6,28,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0x0ad7,0x5608,58224,443,5948,6544,1597,20,0x0018,46,0x6706,62,0
filtered_pcap\TCP_Assistant,40,20,0x02,64,6,0x0ad8,0x5635,58224,443,5994,6590,1597,20,0x0010,0,0x1afc,62,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x7931,0xa1fc,55240,443,51,51,406,32,0x0010,0,0x89ef,10,0
